lat,long,Year,Month,Day,Hour,TempOut,HiTemp,LowTemp,OutHum,DewPt,WindSpeed,WindRun,HiSpeed,WindChill,HeatIndex,THWIndex,Bar,Rain,HeatD-D,CoolD-D,SolarEnergy
51.4,-0.3,2014,1,22,16,7.3,7.3,7.2,93,6.2,0,0,2,7.3,7.4,7.4,754.5,0,0.23,0,0
51.4,-0.3,2014,1,22,16.5,7.3,7.3,7.2,93,6.2,0,0,1,7.3,7.4,7.4,754.6,0,0.23,0,0
51.4,-0.3,2014,1,22,17,7.4,7.4,7.2,93,6.3,0,0,3,7.4,7.5,7.5,754.8,0,0.228,0,0
51.4,-0.3,2014,1,22,17.5,7.4,7.4,7.4,92,6.2,0,0,2,7.4,7.6,7.6,754.8,0,0.227,0,0
51.4,-0.3,2014,1,22,18,7.4,7.4,7.4,93,6.3,0,0,2,7.4,7.5,7.5,754.9,0,0.228,0,0
51.4,-0.3,2014,1,22,18.5,7.3,7.4,7.2,93,6.2,0,0,2,7.3,7.4,7.4,755,0,0.23,0,0
51.4,-0.3,2014,1,22,19,7.2,7.3,7.2,94,6.3,0,0,2,7.2,7.3,7.3,755,0.25,0.233,0,0
51.4,-0.3,2014,1,22,19.5,6.8,7.2,6.8,94,5.9,0,0,3,6.8,6.9,6.9,755.1,0,0.24,0,0
51.4,-0.3,2014,1,22,20,6.7,6.8,6.7,95,5.9,0,0,3,6.7,6.8,6.8,755.1,0,0.243,0,0
51.4,-0.3,2014,1,22,20.5,6.6,6.7,6.6,95,5.8,0,0,2,6.6,6.7,6.7,755,0,0.245,0,0
51.4,-0.3,2014,1,22,21,6,6.6,6,94,5.1,0,0,0,6,6.1,6.1,755.1,0,0.257,0,0
51.4,-0.3,2014,1,22,21.5,5.5,6,5.5,95,4.8,0,0,0,5.5,5.6,5.6,755.2,0,0.267,0,0
51.4,-0.3,2014,1,22,22,5.4,5.4,5.3,96,4.8,0,0,3,5.4,5.4,5.4,755.4,0,0.27,0,0
51.4,-0.3,2014,1,22,22.5,5,5.4,5,95,4.3,1,0.5,3,5,5.1,5.1,755.7,0,0.278,0,0
51.4,-0.3,2014,1,22,23,4.8,5,4.8,96,4.2,0,0,3,4.8,4.8,4.8,755.6,0,0.282,0,0
51.4,-0.3,2014,1,22,23.5,4.9,4.9,4.8,96,4.4,0,0,3,4.9,5,5,755.4,0,0.279,0,0
51.4,-0.3,2014,1,23,0,4.9,4.9,4.9,96,4.4,0,0,3,4.9,5,5,755.4,0,0.279,0,0
51.4,-0.3,2014,1,23,0.5,5.1,5.1,4.9,96,4.5,1,0.5,3,5.1,5.1,5.1,755.2,0,0.277,0,0
51.4,-0.3,2014,1,23,1,5.1,5.1,5,96,4.5,0,0,3,5.1,5.1,5.1,755.1,0,0.277,0,0
51.4,-0.3,2014,1,23,1.5,5.2,5.2,5.1,96,4.6,0,0,3,5.2,5.2,5.2,755.2,0,0.274,0,0
51.4,-0.3,2014,1,23,2,5.1,5.2,5.1,95,4.3,0,0,3,5.1,5.1,5.1,755.3,0,0.277,0,0
51.4,-0.3,2014,1,23,2.5,5.1,5.1,5,95,4.3,0,0,3,5.1,5.1,5.1,755.1,0,0.277,0,0
51.4,-0.3,2014,1,23,3,5.1,5.1,5.1,95,4.3,1,0.5,4,5.1,5.1,5.1,755,0,0.277,0,0.09
51.4,-0.3,2014,1,23,3.5,4.8,5.1,4.8,94,3.9,1,0.5,4,4.8,4.9,4.9,754.8,0,0.281,0,0.56
51.4,-0.3,2014,1,23,4,5,5,4.8,95,4.3,0,0,4,5,5.1,5.1,754.5,0,0.278,0,2.06
51.4,-0.3,2014,1,23,4.5,5.3,5.3,5,94,4.4,2,1,9,5.3,5.3,5.3,754.6,0,0.272,0,3.4
