Year,Month,Day,Hour,TempOut,HiTemp,LowTemp,OutHum,DewPt,WindSpeed,WindRun,HiSpeed,WindChill,HeatIndex,THWIndex,Bar,Rain,HeatD-D,CoolD-D,SolarEnergy
2014,1,7,14.5,10.6,10.6,10.4,84,8,5,2.5,14,9.7,10.6,9.7,747.8,0,0.162,0,1.38
2014,1,7,15,10.7,10.8,10.6,83,7.9,6,3,15,9.5,10.7,9.5,748,0,0.16,0,0.86
2014,1,7,15.5,10.7,10.8,10.7,81,7.6,6,3,18,9.6,10.7,9.5,747.9,0,0.159,0,0.95
2014,1,7,16,10.4,10.7,10.3,82,7.4,5,2.5,14,9.4,10.4,9.4,748.2,0,0.166,0,0.34
2014,1,7,16.5,10.3,10.4,10.3,84,7.7,5,2.5,15,9.3,10.3,9.3,748.4,0,0.168,0,0
2014,1,7,17,10.3,10.4,10.3,83,7.6,5,2.5,13,9.4,10.3,9.4,748.6,0,0.167,0,0
2014,1,7,17.5,10.2,10.4,10.2,84,7.6,5,2.5,14,9.3,10.2,9.3,748.8,0,0.169,0,0
2014,1,7,18,10.2,10.3,10.2,85,7.8,4,2,11,9.6,10.2,9.6,748.9,0,0.17,0,0
2014,1,7,18.5,10,10.2,10,86,7.8,5,2.5,13,9,10.1,9.1,749.2,0,0.174,0,0
2014,1,7,19,9.8,10.1,9.8,87,7.7,4,2,13,9.1,9.9,9.2,749.4,0,0.178,0,0
2014,1,7,19.5,9.7,9.8,9.6,88,7.8,3,1.5,14,9.4,9.8,9.6,749.5,0,0.181,0,0
2014,1,7,20,10.1,10.1,9.7,86,7.9,4,2,12,9.5,10.2,9.6,749.6,0,0.171,0,0
2014,1,7,20.5,10.2,10.2,10.1,85,7.8,4,2,12,9.6,10.3,9.7,749.6,0,0.169,0,0
2014,1,7,21,10.3,10.3,10.2,84,7.7,5,2.5,13,9.4,10.3,9.4,749.7,0,0.167,0,0
2014,1,7,21.5,10.4,10.4,10.3,87,8.3,5,2.5,14,9.4,10.4,9.5,749.6,0,0.166,0,0
2014,1,7,22,10.1,10.4,10.1,88,8.2,4,2,11,9.4,10.2,9.6,749.5,0,0.172,0,0
2014,1,7,22.5,9.7,10.1,9.7,88,7.8,4,2,11,9,9.8,9.1,749.7,0,0.181,0,0
2014,1,7,23,9.2,9.7,9.2,91,7.8,4,2,12,8.5,9.4,8.7,749.9,0,0.19,0,0
2014,1,7,23.5,8.9,9.2,8.9,93,7.9,3,1.5,9,8.6,9.1,8.8,750.2,0,0.196,0,0
2014,1,8,0,8,8.9,8,91,6.6,4,2,12,7.1,8.1,7.2,750.8,0,0.215,0,0
2014,1,8,0.5,7.4,8,7.4,93,6.3,2,1,9,7.4,7.5,7.5,750.6,0,0.228,0,0
2014,1,8,1,7.5,7.5,7.4,93,6.4,3,1.5,9,7,7.6,7.1,750.9,0,0.226,0,0
2014,1,8,1.5,7.3,7.5,7.2,93,6.2,2,1,6,7.3,7.4,7.4,751.5,0,0.23,0,0
2014,1,8,2,7.2,7.3,7.2,93,6.2,2,1,6,7.2,7.3,7.3,752,0,0.231,0,0
2014,1,8,2.5,7.2,7.2,7.2,92,6,2,1,7,7.2,7.2,7.2,752.2,0,0.233,0,0
